https://www.allmovie.com/movie/dunkirk-v642135, Dunkirk, Action Historical Film War, Escape Film War Drama, Jul 21 2017, 106, France Netherlands UK USA, PG13, 9,  Profanity War Violence, Christopher Nolan, Syncopy, Warner Bros. Pictures, Nail-biters | Triumph of the Spirit, Great Battles | Heroic Mission | War At Sea | War in the Sky, beach retreat [withdrawal] trapped world-war, High Artistic Quality High Budget High Production Values, Acclaimed auteur Christopher Nolan (Memento The Prestige The Dark Knight) wrote and directed this historical thriller about the Dunkirk evacuation during the early days of World War II. When 400000 British and Allied troops end up trapped on the beaches of Dunkirk France following a catastrophic defeat a number of civilian boats set out to rescue them before they are decimated by the approaching Nazi forces. Fionn Whitehead Tom Glynn-Carney Jack Lowden Harry Styles Aneurin Barnard James D'Arcy Barry Keoghan Kenneth Branagh Cillian Murphy Mark Rylance and Tom Hardy star., Tom Hardy | Jack Lowden | Harry Styles | Aneurin Barnard | James D'Arcy | Barry Keoghan | Kenneth Branagh | Mark Rylance | Lee Armstrong | Luke Y. Thompson | Bobby Lockwood | Tom Nolan | Matthew Marsh | Cillian Murphy | Adam Long | Miranda Nolan | Bradley Hall | Michael Fox | Brian Vernel | Elliott Tittensor | Kevin Guthrie | Jochum ten Haaf | Richard Sanderson | Kim Hartman | Bill Milner | Eric Richard, The Battle of Algiers | Sergeant York | Julius Caesar | Apollo 13 | Von Richthofen and Brown | For Greater Glory
https://www.allmovie.com/movie/three-billboards-outside-ebbing-missouri-v656169, Three Billboards Outside Ebbing Missouri, Crime Drama, , Nov 10 2017, 115, USA, R, 9,  Profanity Sexual Situations Violence, Martin McDonagh, Blueprint Pictures, Fox Searchlight, , , authority challenge daughter investigation mother murder, , Frustrated with the lack of progress by the local police in finding those responsible for the brutal murder of her daughter a mother (Frances McDormand) installs three controversial billboards on the edge of town to goad the department into action. Her decision leads to a clash with both the chief of police (Woody Harrelson) and his unhinged second-in-command (Sam Rockwell). Lucas Hedges Clarke Peters Peter Dinklage John Hawkes Abbie Cornish and Caleb Landry Jones co-star in this crime drama from writer/director Martin McDonagh (In Bruges)., Frances McDormand | Woody Harrelson | Sam Rockwell | Lucas Hedges | Clarke Peters | Abbie Cornish | Peter Dinklage | Caleb Landry Jones | Zeljko Ivanek | John Hawkes | Kerry Condon | Alejandro Barrios | Malaya Rivera Drew | Sandy Martin | Christopher Berry | Jerry Winsett | Kathryn Newton | Brendan Sexton III | Michael Aaron Milligan | Nokitaka Kawaguchi, Dog Day Afternoon | Bonnie and Clyde | A Place in the Sun | American Gangster | The Grifters | On the Waterfront
https://www.allmovie.com/movie/the-beguiled-v670646, The Beguiled, Drama, Melodrama Period Film Romantic Drama, Jun 23 2017, 94, USA, R, 9,  Sexual Situations, Sofia Coppola, American Zoetrope, Focus Features, Slow Burn, Battle of the Sexes | Looking For Love | Southern Gothic, AWOL (Absent Without Leave) boarding-school Civil-War [US] restlessness, High Artistic Quality High Production Values, In this Civil War drama a deserter from the Union Army (Colin Farrell) seeks refuge at an all-female boarding school in Virginia where the ladies compete for his affections while tending to his injuries. His presence at the school slowly poisons the relationships between the various women who eventually turn on the soldier. Nicole Kidman Elle Fanning Kirsten Dunst Oona Laurence and Angourie Rice co-star. Sofia Coppola wrote and directed The Beguiled which is based on a novel by Thomas Cullinan that was previously adapted into a 1971 film of the same name (with Clint Eastwood in the role played here by Farrell)., Colin Farrell | Nicole Kidman | Kirsten Dunst | Elle Fanning | Oona Laurence | Angourie Rice | Wayne Pere, Dangerous Liaisons | Eyes Wide Shut | The Beguiled | Memoirs of a Geisha | Casablanca | The Age of Innocence
https://www.allmovie.com/movie/loving-pablo-v692713, Loving Pablo, Crime Drama, Biopic [feature] Crime Drama, Jun 15 2018, 125, Bulgaria Spain, R, 4,  Drug Content Sexual Situations Violence, Fernando León de Aranoa, Escobar Films, Millenium Films, Tough Guys, Drug Trade | Fall From Power | Infidelity | On the Run, cartel cocaine Colombia Colombian [nationality] danger drug-lord love-affair, , Journalist Virginia Vallejo (Penelope Cruz) follows Colombian drug lord Pablo Escobar (Javier Bardem) as he rises to political power at home and ships drugs to the United States. As their relationship evolves Virginia is accosted by U.S. officials hoping she'll help nab him. Peter Sarsgaard also stars. Based on the book by Virginia Vallejo this film is directed by Fernando León de Aranoa., Javier Bardem | Peter Sarsgaard | Óscar Jaenada | Pedro Calvo | Quique Mendoza | Atanas Srebrev, Life of Pi | Blade Runner | Blow | Escobar: Paradise Lost | The French Connection | Fruitvale Station
https://www.allmovie.com/movie/on-the-seventh-day-v703133, On the Seventh Day, Drama, Inspirational Drama Sports Drama, Jun 8 2018, 97, USA, , 9, , Jim McKay, , Cinema Guild, Only Human, Football Players | Immigrant Life | Soccer Players, hard-labor Hispanic immigrant soccer, , "José (Fernando Cardona) and his group of friends are undocumented Mexican immigrants living in a single apartment in Brooklyn. They work thankless jobs six days a week but spend the seventh day playing in a soccer league. Their team makes it to the finals but José's boss expects him to work that Sunday. José grapples with whether his community or the future he's working toward for himself and his family is more important. Written and directed by Jim McKay. ", Ricardo Gonzalez, My Family | The Hustler | Marlina the Murderer in Four Acts | The Pride of the Yankees | Bound for Glory | To Kill a Mockingbird
https://www.allmovie.com/movie/baby-driver-v640357, Baby Driver, Action, Action Thriller Chase Movie Crime Drama Crime Thriller, Jun 28 2017, 112, UK USA, R, 8,  Profanity Violence, Edgar Wright, Big Talk Productions Media Rights Capital Working Title Films, TriStar Pictures, Adrenaline Rush, One Last Heist | Rogue Cops, bank-robbery car-chase crime getaway-car robbery, , Visionary director Edgar Wright (Shaun of the Dead Hot Fuzz Scott Pilgrim vs. the World) returns with possibly his most audacious film to date: Baby Driver a mix of car-chase action flick and jukebox musical. The movie's protagonist is a fresh-faced getaway driver who goes by the name of Baby (Ansel Elgort); he works for a crew of bank robbers in Atlanta and listens to music all the time (including during robberies) to drown out the severe tinnitus he developed from a childhood accident. Baby's solitary life changes after he falls in love with a waitress named Debora (Lily James) but when he tries to escape from the criminal underworld and start over he finds that getting out is easier said than done. Kevin Spacey Jon Hamm Jamie Foxx Eiza González and Jon Bernthal co-star. Features music from the Jon Spencer Blues Explosion the Beach Boys Dave Brubeck T. Rex Beck Blur Barry White Queen Sky Ferreira Simon & Garfunkel Danger Mouse Run the Jewels and many more., Ansel Elgort | Kevin Spacey | Lily James | Jon Bernthal | Jon Hamm | Jamie Foxx | Sky Ferreira | Lanny Joon | Flea | Clay Donahue Fontenot | Patrick Walker | Ben VanderMey | Killer Mike | Brogan Hall | Andy McDermott | Keith Hudson | Jonathan Spencer | Walter Hill | Wilbur Fitzgerald, Bullitt | The Driver | The Italian Job | Vanishing Point | The French Connection | The Getaway
https://www.allmovie.com/movie/the-book-of-henry-v644992, The Book of Henry, Drama Thriller, Crime Thriller Family Drama Inspirational Drama, , 105, USA, PG13, 8,  Adult Situations Profanity, Colin Trevorrow, Double Nickel Entertainment Sidney Kimmel Entertainment, Focus Features, Triumph of the Spirit, Child Prodigies | Domestic Abuse | Dying Young | Parenthood, emotion genius loss-of-innocence role-model social-justice, , A young boy (Jaeden Lieberher) learns that his next-door neighbor (Maddie Ziegler) is being abused by her stepfather (Dean Norris) and starts writing a book about how to rescue her. When his mother (Naomi Watts) discovers his plans she decides to enact them herself. Jacob Tremblay Lee Pace and Sarah Silverman co-star. Directed by Colin Trevorrow., Naomi Watts | Jaeden Lieberher | Jacob Tremblay | Lee Pace | Sarah Silverman | Dean Norris | Bobby Moynihan | Jackson Nicoll | Marjan Neshat | Tonya Pinkins | Geraldine Hughes | Maxwell Simkins | Joel Marsh Garland | Wass Stevens | Arthur French | Mary Joy | Zandi Holup | Mike Massimino | Donna Mitchell, August Rush | Searching for Bobby Fischer | Gifted | First Kill | Marlina the Murderer in Four Acts | Woman Walks Ahead
https://www.allmovie.com/movie/detroit-v662944, Detroit, Drama Historical Film, Crime Drama Police Drama Urban Drama, Jul 28 2017, 143, USA, R, 8,  Profanity Violence, Kathryn Bigelow, First Light Production, Annapurna Pictures, Food for Thought, Inner City Blues | Police Corruption | Race Relations | Scandals and Cover-Ups, evidence-false oppression race-relations racism racist riot [uprising] urban-problems, High Production Values, Director Kathryn Bigelow (The Hurt Locker Zero Dark Thirty) and screenwriter Mark Boal reteam for this docudrama about the Detroit race riots of July 1967 which engulfed the city for five days after the public were outraged by the brutality of a police raid on an unlicensed bar. The film eventually zeros in on one particular incident at the Algiers Motel where a group of black men and white women were terrorized (and some killed) by police officers. John Boyega Will Poulter Algee Smith Jacob Latimore Anthony Mackie Jason Mitchell Jack Reynor Hannah Murray Kaitlyn Dever and John Krasinski star., John Boyega | Will Poulter | Jacob Latimore | John Krasinski | Anthony Mackie | Jason Mitchell | Jack Reynor | Kaitlyn Dever | Hannah Murray | Ben O'Toole | Ephraim Sykes | Leon Thomas III | Malcolm David Kelley | Gbenga Akinnagbe | Chris Chalk | Jeremy Strong | Laz Alonso | Amari Cheatom | Tyler James Williams | Barton Bund | Dennis Staroselsky | Karen Pittman | Samira Wiley | Ricardo Pitts-Wiley | Will Bouvier | Bates Wilder | David Adam Flannery | Timothy John Smith | Lizan Mitchell | Jeff Avigian | Chris Coy | Ato Blankson-Wood | Glenn Fitzgerald | Alexander Cook | Frank Wood | Gary Wilmes | Russell Jones | Edward Arrendell, Fruitvale Station | The Hurt Locker | Selma | The Birth of a Nation | Do the Right Thing | Dirty
https://www.allmovie.com/movie/wonder-v663039, Wonder, Drama, Inspirational Drama, Nov 17 2017, 113, USA, PG, 8,  Adult Situations Mild Language, Stephen Chbosky, Mandeville Films Participant Media Walden Media, Lionsgate Films, Triumph of the Spirit, Living With Disability | Misfits and Outsiders | Mothers and Sons | Peer Pressure [k], deformity elementary-school face father hope mother, , A ten-year-old boy with a facial deformity (Jacob Tremblay) attends school for the first time when he begins the fifth grade. With the support of his mother (Julia Roberts) and father (Owen Wilson) he learns how to make friends and adjust to his new environment. Meanwhile those around him learn not to judge a book by its cover. Wonder was directed by Stephen Chbosky (The Perks of Being a Wallflower) and was adapted from the best-selling novel by R.J. Palacio., Julia Roberts | Jacob Tremblay | Owen Wilson | Mandy Patinkin | Millie Davis | Izabela Vidovic | Danielle Rose Russell | Rukiya Bernard | Kyle Harrison Breitkopf | Ali Liebert | Nadji Jeter | Ben Ratner | Jason McKinnon | Sonia Braga | Nicole Oliver | Rachel Hayward | Victoria Cruz | Crystal Lowe | Steve Bacic | Emma Tremblay, Mask | Gaby: A True Story | The Elephant Man | My Left Foot | Lorenzo's Oil | Extremely Loud & Incredibly Close
https://www.allmovie.com/movie/custody-v691991, Custody, Drama, Family Drama, Jun 29 2018, 93, France, , 8, , Xavier Legrand, France 3 Cinéma K.G. Productions, Kino Lorber, Only Human, Custody Battles, custody-battle marriage son, , A young boy Julien (Thomas Gioria) and his teenage sister Josephine (Mathilde Auneveux) become pawns in a bitter custody battle between divorced couple Miriam (Léa Drucker) and Antoine (Denis Ménochet). Miriam claims Antoine is violent while Antoine maintains that his bitter ex has turned his children against him. Julien is caught in the middle of their manipulations and struggles to know who to trust. Directed by Xavier Legrand. Intended as a companion to his short film "Just Before Losing Everything" with Drucker Menochet and Auneveux reprising their roles., Léa Drucker | Denis Menochet | Martine Vandeville | Jean-Marie Winling | Jean-Claude Leguay | Julien Lucas, Away From Her | What Maisie Knew | 45 Years | Longing | Evelyn | Coming Home
